word,total_count
choose,197
drum,196
boy.,196
bastard,196
chance,196
edg.,196
falstaff,196
shake,195
one.,195
shallow,194
deliver,194
among,194
titus,194
anything,194
thersites.,194
begin,194
demetrius.,194
least,193
case,193
lack,192
heir,192
honourable,192
tranio.,192
bardolph,192
stood,191
understand,190
wert,190
marriage,190
cast,190
beg,190
marcius,190
subject,189
receive,189
golden,189
pride,188
plague,188
talbot,188
bardolph.,188
low,187
longer,187
foolish,187
along,187
v.,187
worst,186
quick,186
writ,186
laid,186
lookd,186
son.,184
try,184
withal,184
fine,184
mens,184
done.,184
mortal,184
lend,184
mothers,184
sorry,183
promise,182
stop,182
green,182
move,182
gates,182
paris,182
order,181
dull,181
mine.,181
presence,180
short,180
word.,180
perceive,180
learn,180
judgment,180
margaret,180
quarrel,179
simple,179
true.,179
measure,179
troth,178
turnd,178
respect,178
taen,178
dangerous,178
faults,178
lordship,178
honours,178
somerset,178
anne.,178
aguecheek.,178
fashion,177
scorn,176
virtuous,176
wisdom,176
paper,176
jest,176
men.,176
commend,176
tale,174
curse,174
consent,174
evans.,174
malvolio.,174
katharine.,174
way.,173
died,173
whither,172
round,172
forget,172
army,172
chamber,172
calls,172
pol.,172
costard.,172
title,171
whos,171
quickly.,170
senator.,170
taken,170
wild,170
fearful,170
held,170
boys,170
banishd,170
macduff.,170
head.,169
piece,169
book,169
offence,168
nurse,168
officers,168
pompey,168
carry,168
achilles,168
anne,168
laugh,167
reads,166
whereof,166
wood,166
womans,166
feast,166
fresh,166
forgot,166
judge,166
making,166
anon,166
broke,166
rome.,166
beard,166
katherina.,166
achilles.,166
silence,165
hearing,165
brief,165
terms,164
valour,164
offer,164
emperor,164
holds,164
ulysses.,164
posthumus.,164
breast,164
timon,164
clarence.,164
angelo,164
boyet.,164
several,163
walls,162
won,162
friar.,162
danger,162
caesars,162
cymbeline.,162
myself.,161
watch.,160
steal,160
up.,160
sings,160
moth.,160
greater,160
forward,160
drawn,160
blow,160
shylock.,160
salisbury,160
escalus.,160
treason,158
whiles,158
worship,158
trumpets,158
lion,158
flourish.,158
eer,158
enemies,158
madam.,158
justice.,158
large,158
friends.,158
both.,158
angry,158
wolsey.,158
although,158
cloten.,158
edm.,158
caius,158
adriana.,158
london.,158
shape,157
sudden,157
until,157
hurt,157
coward,157
taste,156
wounds,156
year,156
thence,156
dukes,156
down.,156
glory,156
feed,156
northumberland.,156
cried,156
iachimo.,156
widow,154
suffer,154
stir,154
prayers,154
kingdom,154
dies,154
ford,154
doctor,154
roderigo.,154
blessed,154
alack,154
hastings,154
cassius,154
maria.,154
hector.,154
